s,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1
17,Amazon,S&P Global Market Intelligence,Facebook,Graphiti XYZ,Facebook,Business Intelligence,Data Analyst Intern,Business Intelligence for People Growth,Co-founder & CEO,Product Management; Team Insights,Greater Seattle Area; United States,New York; United States,San Francisco Bay Area; United States,San Francisco Bay Area | Bangalore,San Francisco Bay Area; United States,month:2;year:2014,month:5;year:2015,month:6;year:2013,month:8;year:2013,month:5;year:2015,month:9;year:2016,month:9;year:2016,,month:3;year:2016,month:9;year:2016,
18,Compaq,Hewlett Packard,Apple,Hewlett-Packard,EMC,Manager; Research; Information Architecture; and Analytics,Team Lead; Research - Analytics; Research; and Consulting Group,Web data analyst,Senior Data Analyst,Senior Data Analyst,,,,,,month:4;year:1999,month:7;year:2002,month:7;year:2002,month:8;year:2004,month:6;year:2014,,month:8;year:2004,month:5;year:2012,month:5;year:2012,month:5;year:2014,
19,Harvard University,University of Washington Department of Genome Sciences,Universidad de Chile,Massachusetts Institute of Technology,,Postdoctoral fellow,Assistant Professor,Engineering Student,Ph.D Student,,Cambridge; MA,Seattle; WA,Cambridge; MA,,,month:12;year:2006,month:7;year:2010,month:11;year:2010,,year:1995,year:2000,month:8;year:2001,month:9;year:2006,,,
20,Agenzia Regionale di Sanità Toscana,Azienda Sanitaria Fiorentina,Genomedics srl,,,Statistical Researcher,Statistical Researcher,CDO (Chief Data Officer); Data Manager; Project Manager; Statistical Researcher,,,Florence Area; Italy,Firenze,Florence Area; Italy,Florence Area; Italy,,month:1;year:2004,month:1;year:2004,month:6;year:2002,month:6;year:2002,year:2008,year:2008,month:1;year:2004,month:1;year:2004,month:6;year:2002,month:6;year:2002,
21,BDC VENTURE CAPITAL,University of Toronto,sanofi-aventis,Flagship Ventures,Origin Merchant Partners,Associate Director,Research Engineer,Process Improvement Engineer,Summer Associate,Senior Analyst (on Secondment from BDC Venture Capital),Toronto; Canada Area,Toronto; Canada Area,,,,month:6;year:2007,,month:9;year:2000,month:6;year:2002,month:8;year:2002,month:6;year:2005,month:6;year:2006,month:8;year:2006,month:5;year:2014,month:10;year:2014,
22,Expedia,Unisys,GRT,Microsoft,Symetra,Sr. Architect,Architect,Senior Consultant,Senior Program Manager,Enterprise Architect,Bellevue; WA,Stamford; CT,Redmond; WA,Bellevue; WA,,month:5;year:2009,month:9;year:2014,month:1;year:2008,month:3;year:2009,month:9;year:1998,month:3;year:2006,month:3;year:2006,month:11;year:2007,month:9;year:2014,,
23,TIM,Globo.com,Globo.com,blah! - Telecom Italia,Globo.com,BI analyst - VAS Department,Product Owner,Business Intelligence Coordinator - Web Analytics,business intelligence intern,Web Analyst Coordinator,,,,,,year:2004,year:2006,month:5;year:2011,month:7;year:2015,month:6;year:2006,month:5;year:2011,year:2003,year:2004,month:7;year:2015,,
24,likesocialbiz,Sprint Junior-Entreprise,Saints Cloud Agency,Sprint Junior-Entreprise,,C.M.O,Chef de projet,C.E.O,,,Los Angeles,,,,,month:8;year:2015,month:9;year:2016,year:2013,year:2015,month:4;year:2013,month:12;year:2015,,,,,
25,Avanade,Vroom Technologies,Quark Inc.,CresSoft,Microsoft,Group Manager/SaaS Architect,Principle Software Engineer,Engineering Lead/Team lead,Software Engineer,Cloud Solution Architect,Redmond; WA,,,,,month:2;year:2011,month:1;year:2015,year:1998,year:2001,year:2001,month:2;year:2011,year:1997,year:1999,month:2;year:2015,,
26,LMRA,Tatweer Petroleum,Society of Petroleum Engineers,Society of Petroleum Engineers,,J2EE System Developer,Production Systems Specialist,,,,Bahrain,Awali,,,,month:6;year:2010,month:8;year:2012,month:8;year:2012,,,,,,,,
